Id;personId;startdate;enddate;
11101;231097190280;2021-01-01;2021-01-28;
67164;231097190280;2021-02-07;2021-02-10;
43215;231097190280;2021-02-12;2021-02-13;
54105;231097190280;2021-02-15;2021-02-16;
87753;231097190280;2021-03-01;2021-05-05;
15144;231097190280;2021-05-09;2021-05-10;
16223;231097190280;2021-05-15;2021-05-24;
16432;120285958678;2021-04-06;2021-12-28;
17283;120285958678;2022-01-01;2022-01-10;
28457;050590204392;2008-02-01;2009-02-03;
39175;050590204392;2010-02-04;2011-01-01;
58377;050590204392;2011-01-02;2011-01-30;
48592;050590204392;2011-03-01;2016-10-01;
17264;050590204392;2019-05-24;2019-05-24;
95837;050590204392;2019-05-26;2019-05-26;
47328;050590204392;2019-05-27;2019-05-27;
23753;050590204392;2019-05-28;2019-05-28;
16543;050590204392;2019-05-29;2019-05-29;
18674;090472950683;2021-10-20;2021-12-28;
48654;190898375869;2021-02-15;2021-03-15;
63458;190898375869;2021-03-16;2021-03-30;
18623;190898375869;2021-04-01;2021-04-15;
12659;190898375869;2021-05-01;2021-06-05;
97542;071202885948;2020-02-14;2020-02-14;
94362;071202885948;2020-02-15;2020-02-15;
47592;071202885948;2020-02-16;2020-02-16;
49362;071202885948;2020-02-17;2020-02-17;
63856;071202885948;2020-02-19;2020-02-19;
47285;071202885948;2020-02-24;2020-02-24;
28495;071202885948;2020-02-25;2020-02-25;
95748;071202885948;2020-02-26;2020-02-26;
27495;071202885948;2020-02-30;2020-02-30;
58693;071202885948;2020-03-01;2020-03-01;
38559;300178293825;2022-01-01;2022-01-28;
17438;300178293825;2022-02-01;2022-02-01;
